n,p,dataset,max_iters,val
50,2,10,1,0.160941754
50,2,10,1,0.195401433
50,2,10,1,0.221587195
50,5,1,1,0.204030367
50,5,1,1,0.403645202
50,5,1,1,0.457268252
50,5,1,1,0.469160958
50,5,1,1,0.495261484
50,5,1,1,0.669954822
50,5,1,1,0.798610439
50,5,1,1,0.862469034
50,5,1,1,0.977657575
50,5,1,1,1.622331737
50,5,2,1,0.235829903
50,5,2,1,0.314276583
50,5,2,1,0.445494073
50,5,2,1,0.56428676
50,5,2,1,0.569704852
50,5,2,1,0.588887714
50,5,2,1,0.793588032
50,5,2,1,0.794642704
50,5,2,1,0.819406061
50,5,2,1,1.025049177
50,5,3,1,0.324915706
50,5,3,1,0.480617926
50,5,3,1,0.496551772
50,5,3,1,0.515580228
50,5,3,1,0.582589842
50,5,3,1,0.58333743
50,5,3,1,0.632469318
50,5,3,1,0.709387838
50,5,3,1,0.722438336
50,5,3,1,1.041296437
50,5,4,1,0.241562662
50,5,4,1,0.279856369
50,5,4,1,0.374151084
50,5,4,1,0.38264894
50,5,4,1,0.425786226
50,5,4,1,0.49615436
50,5,4,1,0.602013856
50,5,4,1,0.613089549
50,5,4,1,0.637495965
50,5,4,1,0.649883156
50,5,5,1,0.264154619
50,5,5,1,0.267499917
50,5,5,1,0.286840605
50,5,5,1,0.433027856
50,5,5,1,0.505783657
50,5,5,1,0.558093957
50,5,5,1,0.797873983
50,5,5,1,0.869195381
50,5,5,1,0.930356901
50,5,5,1,1.057050195
50,5,6,1,0.353797912
50,5,6,1,0.356224973
50,5,6,1,0.443371968
50,5,6,1,0.514198248
50,5,6,1,0.688021879
50,5,6,1,0.787231668
50,5,6,1,0.798794908
50,5,6,1,0.880305496
50,5,6,1,1.015808828
50,5,6,1,1.057536789
50,5,7,1,0.081339034
50,5,7,1,0.269741252
50,5,7,1,0.29405685
50,5,7,1,0.406008716
50,5,7,1,0.434267939
50,5,7,1,0.492866225
50,5,7,1,0.51308523
50,5,7,1,0.529337407
50,5,7,1,0.56584464
50,5,7,1,1.061086579
50,5,8,1,0.193241099
50,5,8,1,0.240860255
50,5,8,1,0.381088229
50,5,8,1,0.545965256
50,5,8,1,0.593686751
50,5,8,1,0.617133885
50,5,8,1,0.671253988
50,5,8,1,0.752979075
50,5,8,1,0.791542373
50,5,8,1,0.851276375
50,5,9,1,0.17305231
50,5,9,1,0.219830723
50,5,9,1,0.305902335
50,5,9,1,0.403241758
50,5,9,1,0.419085348
50,5,9,1,0.509918617
50,5,9,1,0.561271116
50,5,9,1,0.583616243
50,5,9,1,0.915356483
50,5,9,1,1.165912173
50,5,10,1,0.101625054
50,5,10,1,0.150442511
50,5,10,1,0.15513911
50,5,10,1,0.189618747
50,5,10,1,0.400513683
50,5,10,1,0.49548157
50,5,10,1,0.54611715
50,5,10,1,0.821537566
50,5,10,1,0.90667625
50,5,10,1,1.792483876
50,10,1,1,0.88497126
50,10,1,1,1.1421583
50,10,1,1,1.188907636
50,10,1,1,1.261326069
50,10,1,1,1.275268046
50,10,1,1,1.298626485
50,10,1,1,1.553582846
50,10,1,1,1.558472818
50,10,1,1,1.593023611
50,10,1,1,1.763276528
50,10,2,1,0.721088921
50,10,2,1,0.791022882
50,10,2,1,0.829650455
50,10,2,1,0.874418349
50,10,2,1,0.980519298
50,10,2,1,1.06446937
50,10,2,1,1.100904452
50,10,2,1,1.313950679
50,10,2,1,1.526199117
50,10,2,1,1.796172046
50,10,3,1,0.842187834
50,10,3,1,1.063661605
50,10,3,1,1.144030506
50,10,3,1,1.147586783
50,10,3,1,1.25147348
50,10,3,1,1.262902128
50,10,3,1,1.472488044
50,10,3,1,1.846822934
50,10,3,1,2.010476465
50,10,3,1,2.464947391
50,10,4,1,0.822806825
50,10,4,1,0.978398985
50,10,4,1,0.985323701
50,10,4,1,1.137262842
50,10,4,1,1.224863179
50,10,4,1,1.36718732
50,10,4,1,1.898680417
50,10,4,1,1.908014455
50,10,4,1,2.146492516
50,10,4,1,2.263579875
50,10,5,1,0.669737996
50,10,5,1,0.863004609
50,10,5,1,0.863525785
50,10,5,1,0.988421859
50,10,5,1,1.30247716
50,10,5,1,1.660625649
50,10,5,1,1.712024588
50,10,5,1,1.899519269
50,10,5,1,2.069180575
50,10,5,1,2.681981008
50,10,6,1,0.983222438
50,10,6,1,1.03625521
50,10,6,1,1.152640601
50,10,6,1,1.220473311
50,10,6,1,1.303250652
50,10,6,1,1.323018437
50,10,6,1,1.324745626
50,10,6,1,1.481542539
50,10,6,1,1.628350257
50,10,6,1,1.861832434
50,10,7,1,0.910279418
50,10,7,1,0.988677601
50,10,7,1,1.042141267
50,10,7,1,1.209942492
50,10,7,1,1.239460428
50,10,7,1,1.305022796
50,10,7,1,1.325521761
50,10,7,1,1.523928295
50,10,7,1,1.708065149
50,10,7,1,2.071542077
50,10,8,1,0.55372316
50,10,8,1,0.83064533
50,10,8,1,0.84178586
50,10,8,1,0.926398387
50,10,8,1,0.97032523
50,10,8,1,1.149414733
50,10,8,1,1.781431105
50,10,8,1,1.790339048
50,10,8,1,1.937879847
50,10,8,1,2.139171613
50,10,9,1,0.837538208
50,10,9,1,0.999737809
50,10,9,1,1.152574567
50,10,9,1,1.225092384
50,10,9,1,1.267409422
50,10,9,1,1.348935262
50,10,9,1,1.567524651
50,10,9,1,1.752147742
50,10,9,1,2.061970764
50,10,9,1,2.541117048
50,10,10,1,0.90391017
50,10,10,1,1.01486741
50,10,10,1,1.057466186
50,10,10,1,1.228854227
50,10,10,1,1.229494522
50,10,10,1,1.477481104
50,10,10,1,1.480694868
50,10,10,1,1.512642589
50,10,10,1,1.637035429
50,10,10,1,2.035095686
50,1,1,2,5.87E-06
50,1,1,2,1.53E-05
50,1,1,2,3.13E-05
50,1,1,2,6.03E-05
50,1,1,2,0.000105631
50,1,1,2,0.000162234
50,1,1,2,0.000250243
50,1,1,2,0.000845664
50,1,1,2,0.001191214
50,1,1,2,0.001338325
50,1,2,2,1.34E-05
50,1,2,2,3.61E-05
50,1,2,2,4.32E-05
50,1,2,2,5.62E-05
50,1,2,2,0.000116872
50,1,2,2,0.000179993
50,1,2,2,0.000299619
50,1,2,2,0.000340366
50,1,2,2,0.000412387
50,1,2,2,0.000525559
50,1,3,2,2.06E-06
50,1,3,2,7.76E-06
50,1,3,2,1.65E-05
50,1,3,2,2.31E-05
50,1,3,2,2.43E-05
50,1,3,2,4.45E-05
50,1,3,2,5.53E-05
50,1,3,2,0.000203889
50,1,3,2,0.000375613
50,1,3,2,0.000410263
50,1,4,2,4.18E-05
50,1,4,2,0.000107833
50,1,4,2,0.000148832
50,1,4,2,0.000199967
50,1,4,2,0.000227648
50,1,4,2,0.000321988
50,1,4,2,0.000437223
