n,p,r,val
100,20,1,0.565301539
100,20,1,0.576131783
100,20,1,0.5984288
100,20,1,0.613895016
100,20,1,0.622689125
100,20,1,0.635471433
100,20,1,0.701570421
100,20,1,0.757810072
100,40,1,1.444263425
100,40,1,1.476434929
100,40,1,1.546345128
100,40,1,1.588529089
100,40,1,1.593970014
100,40,1,1.623006358
100,40,1,1.6791398
100,40,1,1.686790907
100,40,1,1.68789633
100,40,1,1.691219927
100,40,1,1.736113589
100,40,1,1.744488339
100,40,1,1.752097444
100,40,1,1.760078391
100,40,1,1.805746503
100,40,1,1.810558789
100,40,1,1.819479352
100,40,1,1.84100957
100,40,1,1.849387303
100,40,1,1.849877965
100,40,1,1.882633836
100,40,1,1.89087669
100,40,1,1.959048504
100,40,1,1.961973715
100,40,1,1.964177309
100,40,1,2.000740839
100,40,1,2.025669047
100,40,1,2.034553036
100,40,1,2.09473694
100,40,1,2.284034402
100,80,1,4.325442576
100,80,1,4.746884807
100,80,1,4.762654754
100,80,1,4.826435556
100,80,1,4.850352763
100,80,1,4.864066881
100,80,1,4.86445623
100,80,1,4.888969061
100,80,1,4.894189606
100,80,1,4.915449219
100,80,1,4.96512433
100,80,1,4.978169387
100,80,1,5.030686823
100,80,1,5.096421621
100,80,1,5.159610717
100,80,1,5.166425739
100,80,1,5.206984922
100,80,1,5.369156121
100,80,1,5.392863914
100,80,1,5.408656676
100,80,1,5.435327787
100,80,1,5.436213546
100,80,1,5.445424435
100,80,1,5.566135057
100,80,1,5.616998188
100,80,1,5.695868854
100,80,1,5.701457281
100,80,1,5.704116507
100,80,1,6.534643539
100,80,1,6.830958642
200,1,1,8.97E-08
200,1,1,2.65E-07
200,1,1,3.63E-07
200,1,1,3.71E-07
200,1,1,4.30E-07
200,1,1,5.71E-07
200,1,1,5.87E-07
200,1,1,7.68E-07
200,1,1,8.57E-07
200,1,1,1.03E-06
200,1,1,1.13E-06
200,1,1,1.21E-06
200,1,1,1.27E-06
200,1,1,1.37E-06
200,1,1,1.46E-06
200,1,1,1.57E-06
200,1,1,1.68E-06
200,1,1,1.84E-06
200,1,1,2.28E-06
200,1,1,2.34E-06
200,1,1,2.48E-06
200,1,1,3.00E-06
200,1,1,3.43E-06
200,1,1,3.69E-06
200,1,1,4.05E-06
200,1,1,4.52E-06
200,1,1,5.27E-06
200,1,1,6.54E-06
