n,p,r,val
2000,20,1,0.015132614
2000,20,1,0.015304288
2000,20,1,0.015313583
2000,20,1,0.015387808
2000,20,1,0.015494547
2000,20,1,0.015778591
2000,20,1,0.015794223
2000,20,1,0.015937707
2000,20,1,0.015990327
2000,20,1,0.016230638
2000,20,1,0.016322778
2000,20,1,0.016402712
2000,20,1,0.016538782
2000,20,1,0.016722521
2000,20,1,0.016857228
2000,20,1,0.017047019
2000,20,1,0.017085606
2000,20,1,0.017430781
2000,20,1,0.017463861
2000,20,1,0.017696572
2000,40,1,0.047509003
2000,40,1,0.050797032
2000,40,1,0.050971308
2000,40,1,0.051903674
2000,40,1,0.052189422
2000,40,1,0.052575642
2000,40,1,0.053821981
2000,40,1,0.054131812
2000,40,1,0.054182436
2000,40,1,0.05502985
2000,40,1,0.055077078
2000,40,1,0.055438943
2000,40,1,0.055708154
2000,40,1,0.055740389
2000,40,1,0.056015127
2000,40,1,0.056397152
2000,40,1,0.056575374
2000,40,1,0.056778383
2000,40,1,0.057708803
2000,40,1,0.05820748
2000,40,1,0.058446724
2000,40,1,0.058665586
2000,40,1,0.05925863
2000,40,1,0.059839303
2000,40,1,0.059959386
2000,40,1,0.074684554
2000,40,1,0.074830146
2000,40,1,0.077032495
2000,40,1,0.077698492
2000,40,1,0.087341078
2000,80,1,0.178424683
2000,80,1,0.180841818
2000,80,1,0.18259123
2000,80,1,0.18390233
2000,80,1,0.18599604
2000,80,1,0.186442604
2000,80,1,0.19358682
2000,80,1,0.198574515
2000,80,1,0.202089097
2000,80,1,0.203575657
2000,80,1,0.209386966
2000,80,1,0.220356731
2000,80,1,0.222488439
2000,80,1,0.222752927
2000,80,1,0.225373003
2000,80,1,0.229171222
2000,80,1,0.229665864
2000,80,1,0.231107067
2000,80,1,0.241146465
2000,80,1,0.24824802
2000,80,1,0.250992047
2000,80,1,0.269638663
2000,80,1,0.274621437
2000,80,1,0.29356842
2000,80,1,0.296455511
2000,80,1,0.305416931
2000,80,1,0.312253766
2000,80,1,0.334314379
2000,80,1,0.335525296
2000,80,1,0.36496091
