n,p,r,d,val
100,10,500,5,0.058858241
100,10,500,6,0.086679474
100,10,500,7,0.08321325
100,10,500,8,0.082112073
100,10,500,9,0.075371508
100,10,500,10,0.083316072
100,10,500,11,0.071052921
100,10,500,12,0.075888401
100,10,500,13,0.087129598
100,10,500,14,0.08496757
100,10,500,15,0.080666829
100,10,500,16,0.083001595
100,10,500,17,0.059310716
100,10,500,18,0.067903907
100,10,500,19,0.068739479
100,10,500,20,0.06520956
100,10,500,21,0.065121147
100,10,500,22,0.083521449
100,10,500,23,0.075504865
100,10,500,24,0.056541136
100,10,500,25,0.080344569
100,20,1,1,0.406861651
100,20,1,2,0.440405539
100,20,1,3,0.464904196
100,20,1,4,0.529109347
100,20,1,5,0.564384944
100,20,1,6,0.507201251
100,20,1,7,0.532629651
100,20,1,8,0.482911485
100,20,1,9,0.531575648
100,20,1,10,0.570859024
100,20,1,11,0.549269615
100,20,1,12,0.525967775
100,20,1,13,0.468945636
100,20,1,14,0.53148901
100,20,1,15,0.601963171
100,20,1,16,0.4885719
100,20,1,17,0.480209121
100,20,1,18,0.517649731
100,20,1,19,0.540754267
100,20,1,20,0.568118431
100,20,1,21,0.628498545
100,20,1,22,0.528917997
100,20,1,23,0.465767443
100,20,1,24,0.664655452
100,20,1,25,0.493141177
100,20,5,1,0.462390208
100,20,5,2,0.445694592
100,20,5,3,0.415331734
100,20,5,4,0.502049456
100,20,5,5,0.485364754
100,20,5,6,0.421643652
100,20,5,7,0.444552808
100,20,5,8,0.498198613
100,20,5,9,0.509144668
100,20,5,10,0.491458019
100,20,5,11,0.457951353
100,20,5,12,0.458725335
100,20,5,13,0.522353654
100,20,5,14,0.452944154
100,20,5,15,0.481410069
100,20,5,16,0.516301302
100,20,5,17,0.556733686
100,20,5,18,0.486125239
100,20,5,19,0.429049464
100,20,5,20,0.467161174
100,20,5,21,0.529175806
100,20,5,22,0.436244174
100,20,5,23,0.450118607
100,20,5,24,0.468326332
100,20,5,25,0.376106152
100,20,30,1,0.405258828
100,20,30,2,0.453969451
100,20,30,3,0.425232764
100,20,30,4,0.461383587
100,20,30,5,0.369439403
100,20,30,6,0.417325805
100,20,30,7,0.377178759
100,20,30,8,0.404858804
100,20,30,9,0.438216928
100,20,30,10,0.474149475
100,20,30,11,0.440341003
100,20,30,12,0.367167187
100,20,30,13,0.381277961
100,20,30,14,0.412932112
100,20,30,15,0.435185651
100,20,30,16,0.424185559
100,20,30,17,0.394095081
100,20,30,18,0.432068758
100,20,30,19,0.373851883
100,20,30,20,0.443187959
100,20,30,21,0.450301644
100,20,30,22,0.339270142
100,20,30,23,0.47366036
100,20,30,24,0.400820647
100,20,30,25,0.401071437
100,20,100,1,0.423670538
100,20,100,2,0.41824117
100,20,100,3,0.370376958
100,20,100,4,0.382625307
100,20,100,5,0.371729404
100,20,100,6,0.385427123
100,20,100,7,0.399542966
100,20,100,8,0.361907575
100,20,100,9,0.362926289
100,20,100,10,0.391615519
100,20,100,11,0.393828455
100,20,100,12,0.406985927
100,20,100,13,0.375182979
100,20,100,14,0.408687319
100,20,100,15,0.412630937
100,20,100,16,0.41787542
100,20,100,17,0.395047554
100,20,100,18,0.376589149
100,20,100,19,0.380507902
100,20,100,20,0.378606965
100,20,100,21,0.358519955
100,20,100,22,0.374713213
100,20,100,23,0.42259013
100,20,100,24,0.394082264
100,20,100,25,0.418497806
100,20,500,1,0.354679982
100,20,500,2,0.323404423
100,20,500,3,0.369827269
100,20,500,4,0.372408798
100,20,500,5,0.380501462
100,20,500,6,0.356951122
100,20,500,7,0.347612802
100,20,500,8,0.33120574
100,20,500,9,0.35696583
100,20,500,10,0.369875026
100,20,500,11,0.386735563
100,20,500,12,0.340615958
100,20,500,13,0.367701907
100,20,500,14,0.363469659
100,20,500,15,0.368592838
100,20,500,16,0.2990717
100,20,500,17,0.34953094
100,20,500,18,0.379438354
100,20,500,19,0.238193902
100,20,500,20,0.36718904
100,20,500,21,0.390390833
100,20,500,22,0.367061786
100,20,500,23,0.373358674
100,20,500,24,0.341479425
100,20,500,25,0.361556422
100,30,1,1,1.201299898
100,30,1,2,1.176406852
100,30,1,3,1.041060045
100,30,1,4,1.057380773
100,30,1,5,1.010359072
100,30,1,6,1.226726976
100,30,1,7,1.096655153
100,30,1,8,1.001172276
100,30,1,9,1.215198352
100,30,1,10,1.082805138
100,30,1,11,1.501571689
100,30,1,12,1.194747958
100,30,1,13,1.230213468
100,30,1,14,1.31528454
100,30,1,15,0.946145389
100,30,1,16,1.204714803
100,30,1,17,1.12309006
100,30,1,18,1.05262557
100,30,1,19,1.180939026
100,30,1,20,1.460335744
100,30,1,21,0.993705231
100,30,1,22,1.156643194
100,30,1,23,0.891496181
100,30,1,24,1.048071657
100,30,1,25,1.098574445
100,30,5,1,0.949450888
100,30,5,2,0.964856153
100,30,5,3,0.92942484
100,30,5,4,0.851903659
100,30,5,5,0.907109256
100,30,5,6,0.985768423
100,30,5,7,0.98012297
100,30,5,8,0.970397264
100,30,5,9,0.979554973
100,30,5,10,0.955711024
100,30,5,11,0.937744327
100,30,5,12,0.878216957
100,30,5,13,1.039737169
100,30,5,14,1.029603288
100,30,5,15,0.928702705
100,30,5,16,0.868006395
100,30,5,17,1.026232407
100,30,5,18,1.03371303
100,30,5,19,0.878353145
100,30,5,20,1.037149472
100,30,5,21,0.99405765
100,30,5,22,0.964242614
100,30,5,23,0.938125708
100,30,5,24,0.987294702
100,30,5,25,0.953221736
100,30,30,1,0.854090449
100,30,30,2,0.920239272
100,30,30,3,0.84984895
100,30,30,4,0.900461105
100,30,30,5,0.922873671
100,30,30,6,0.867440865
100,30,30,7,0.865720275
100,30,30,8,0.773565605
100,30,30,9,0.856531135
100,30,30,10,0.931824842
100,30,30,11,0.900188436
100,30,30,12,0.859349327
100,30,30,13,0.751791167
100,30,30,14,0.887265572
100,30,30,15,0.891382774
100,30,30,16,0.830835305
100,30,30,17,0.820543473
100,30,30,18,0.878485012
100,30,30,19,0.919662399
100,30,30,20,0.901367902
100,30,30,21,0.793954484
100,30,30,22,0.89056347
100,30,30,23,0.926991998
100,30,30,24,0.889748519
100,30,30,25,0.874689701
100,30,100,1,0.796263617
100,30,100,2,0.779473224
100,30,100,3,0.844393047
100,30,100,4,0.738944653
100,30,100,5,0.777899842
100,30,100,6,0.82900781
100,30,100,7,0.879078131
100,30,100,8,0.879762376
100,30,100,9,0.912326313
100,30,100,10,0.838519275
100,30,100,11,0.745711265
100,30,100,12,0.872059025
100,30,100,13,0.849404127
100,30,100,14,0.858047702
100,30,100,15,0.855984277
100,30,100,16,0.761763277
100,30,100,17,0.819074805
100,30,100,18,0.827401452
100,30,100,19,0.833244159
100,30,100,20,0.823540877
100,30,100,21,0.881844403
100,30,100,22,0.882278832
100,30,100,23,0.781090534
100,30,100,24,0.8574538
100,30,100,25,0.778062684
100,30,500,1,0.726147186
100,30,500,2,0.691741944
100,30,500,3,0.78326689
100,30,500,4,0.829240477
100,30,500,5,0.78781456
100,30,500,6,0.77614124
100,30,500,7,0.807991017
100,30,500,8,0.788303221
100,30,500,9,0.749535329
100,30,500,10,0.755346161
100,30,500,11,0.757143272
100,30,500,12,0.705428475
100,30,500,13,0.75441177
100,30,500,14,0.753337357
100,30,500,15,0.791477791
100,30,500,16,0.797862237
100,30,500,17,0.795668042
100,30,500,18,0.774398734
100,30,500,19,0.800450537
100,30,500,20,0.808834928
100,30,500,21,0.796950213
100,30,500,22,0.79249953
100,30,500,23,0.796301618
100,30,500,24,0.724308932
100,30,500,25,0.752471509
200,1,1,1,9.46E-07
200,1,1,2,8.46E-06
200,1,1,3,2.17E-06
200,1,1,4,1.92E-06
200,1,1,5,1.11E-06
200,1,1,6,3.10E-06
200,1,1,7,1.65E-05
200,1,1,8,1.89E-06
200,1,1,9,6.35E-08
200,1,1,10,4.70E-07
200,1,1,11,1.03E-06
200,1,1,12,2.32E-06
200,1,1,13,1.09E-06
200,1,1,14,3.41E-08
200,1,1,15,2.37E-06
200,1,1,16,7.75E-06
200,1,1,17,8.25E-06
200,1,1,18,1.19E-06
200,1,1,19,1.04E-07
200,1,1,20,4.09E-07
200,1,1,21,1.80E-06
200,1,1,22,1.66E-06
200,1,1,23,6.13E-06
200,1,1,24,1.28E-06
200,1,1,25,3.04E-07
200,1,5,1,1.14E-07
200,1,5,2,3.62E-06
200,1,5,3,1.01E-06
200,1,5,4,7.34E-08
200,1,5,5,1.35E-07
200,1,5,6,3.64E-08
200,1,5,7,3.98E-07
200,1,5,8,6.13E-09
200,1,5,9,9.23E-07
200,1,5,10,3.03E-09
200,1,5,11,8.51E-08
200,1,5,12,9.85E-08
200,1,5,13,2.83E-07
200,1,5,14,2.66E-07
200,1,5,15,5.02E-07
200,1,5,16,9.07E-08
200,1,5,17,1.63E-07
200,1,5,18,6.83E-07
200,1,5,19,4.52E-07
200,1,5,20,1.67E-07
200,1,5,21,1.80E-06
200,1,5,22,1.33E-07
200,1,5,23,3.04E-07
200,1,5,24,7.11E-09
200,1,5,25,2.74E-07
200,1,30,1,1.26E-07
200,1,30,2,2.06E-07
200,1,30,3,4.46E-08
200,1,30,4,3.86E-08
200,1,30,5,2.96E-08
200,1,30,6,4.52E-08
200,1,30,7,2.03E-09
200,1,30,8,4.74E-08
200,1,30,9,2.13E-08
200,1,30,10,2.34E-08
200,1,30,11,1.12E-07
200,1,30,12,3.14E-08
200,1,30,13,1.27E-08
200,1,30,14,1.26E-07
200,1,30,15,7.99E-09
200,1,30,16,8.47E-08
200,1,30,17,4.86E-08
200,1,30,18,2.30E-08
200,1,30,19,5.66E-08
200,1,30,20,4.82E-08
200,1,30,21,1.41E-08
200,1,30,22,2.61E-07
200,1,30,23,1.80E-07
200,1,30,24,2.43E-09
200,1,30,25,5.51E-08
200,1,100,1,9.67E-10
200,1,100,2,4.17E-08
200,1,100,3,2.61E-09
200,1,100,4,7.37E-10
200,1,100,5,1.65E-09
200,1,100,6,1.14E-08
200,1,100,7,3.60E-08
200,1,100,8,7.56E-09
200,1,100,9,2.67E-08
200,1,100,10,1.41E-08
200,1,100,11,2.06E-08
200,1,100,12,1.07E-07
200,1,100,13,1.51E-08
200,1,100,14,1.65E-08
200,1,100,15,1.62E-08
200,1,100,16,5.36E-09
200,1,100,17,2.03E-08
200,1,100,18,1.16E-08
200,1,100,19,6.52E-09
200,1,100,20,1.02E-08
200,1,100,21,1.44E-08
200,1,100,22,4.03E-08
200,1,100,23,4.53E-09
200,1,100,24,1.14E-09
200,1,100,25,2.03E-08
200,1,500,1,3.91E-08
200,1,500,2,5.06E-09
200,1,500,3,1.13E-08
200,1,500,4,4.22E-10
200,1,500,5,3.80E-09
200,1,500,6,1.82E-09
200,1,500,7,4.13E-10
200,1,500,8,3.09E-09
200,1,500,9,1.18E-09
200,1,500,10,3.83E-09
200,1,500,11,3.87E-09
200,1,500,12,1.57E-09
200,1,500,13,7.50E-09
200,1,500,14,1.92E-09
200,1,500,15,2.50E-09
200,1,500,16,4.10E-10
200,1,500,17,7.09E-09
200,1,500,18,1.20E-08
200,1,500,19,6.34E-09
200,1,500,20,6.97E-11
200,1,500,21,9.66E-09
200,1,500,22,1.62E-09
200,1,500,23,1.35E-09
200,1,500,24,1.80E-12
200,1,500,25,7.78E-09
200,5,1,1,0.013357616
200,5,1,2,0.012189917
200,5,1,3,0.006622348
200,5,1,4,0.014594721
200,5,1,5,0.009795563
200,5,1,6,0.014923425
200,5,1,7,0.010276884
200,5,1,8,0.014569294
200,5,1,9,0.010894615
200,5,1,10,0.011919386
200,5,1,11,0.016195614
200,5,1,12,0.01353258
200,5,1,13,0.012059478
200,5,1,14,0.008707064
200,5,1,15,0.013297419
200,5,1,16,0.018839909
200,5,1,17,0.007929664
200,5,1,18,0.010538112
200,5,1,19,0.012018723
200,5,1,20,0.011751391
200,5,1,21,0.01096818
200,5,1,22,0.014890991
200,5,1,23,0.013167554
200,5,1,24,0.0081457
200,5,1,25,0.009377597
200,5,5,1,0.0073613
200,5,5,2,0.009327351
200,5,5,3,0.009336609
200,5,5,4,0.00710609
200,5,5,5,0.009326327
200,5,5,6,0.00725454
200,5,5,7,0.011324233
200,5,5,8,0.010009214
200,5,5,9,0.007839088
200,5,5,10,0.006695496
200,5,5,11,0.008619787
200,5,5,12,0.008514421
200,5,5,13,0.010803104
200,5,5,14,0.007865093
200,5,5,15,0.005895012
200,5,5,16,0.005244432
200,5,5,17,0.006426278
200,5,5,18,0.00822865
200,5,5,19,0.008987793
200,5,5,20,0.009225962
200,5,5,21,0.006093726
200,5,5,22,0.006589074
200,5,5,23,0.01101444
200,5,5,24,0.006246826
200,5,5,25,0.006937944
200,5,30,1,0.00761783
200,5,30,2,0.005175181
200,5,30,3,0.006088281
200,5,30,4,0.005212156
200,5,30,5,0.008053176
200,5,30,6,0.006941107
200,5,30,7,0.005199929
200,5,30,8,0.006953994
200,5,30,9,0.00376333
200,5,30,10,0.005407938
200,5,30,11,0.007629864
200,5,30,12,0.006689445
200,5,30,13,0.00651349
200,5,30,14,0.005346918
200,5,30,15,0.007053156
200,5,30,16,0.004245279
200,5,30,17,0.005471325
200,5,30,18,0.007394876
200,5,30,19,0.00698137
200,5,30,20,0.005370804
200,5,30,21,0.004927693
200,5,30,22,0.005024085
200,5,30,23,0.006333899
200,5,30,24,0.006039312
200,5,30,25,0.006883593
200,5,100,1,0.004487238
200,5,100,2,0.005604838
200,5,100,3,0.003712235
200,5,100,4,0.004001295
200,5,100,5,0.004660183
200,5,100,6,0.0060179
200,5,100,7,0.006132116
200,5,100,8,0.006416501
200,5,100,9,0.004188757
200,5,100,10,0.004809881
200,5,100,11,0.005008767
200,5,100,12,0.005214793
200,5,100,13,0.004648106
200,5,100,14,0.005069845
200,5,100,15,0.004807082
200,5,100,16,0.004361598
200,5,100,17,0.005685439
200,5,100,18,0.002859396
200,5,100,19,0.005207151
200,5,100,20,0.004966978
200,5,100,21,0.003220583
200,5,100,22,0.00578937
200,5,100,23,0.004810539
200,5,100,24,0.00385603
200,5,100,25,0.003795758
200,5,500,1,0.002244265
200,5,500,2,0.002451862
200,5,500,3,0.002443758
200,5,500,4,0.004402351
200,5,500,5,0.002791223
200,5,500,6,0.003821526
200,5,500,7,0.002063634
200,5,500,8,0.003433402
200,5,500,9,0.001717585
200,5,500,10,0.004224391
200,5,500,11,0.002670139
200,5,500,12,0.002546521
200,5,500,13,0.003144833
200,5,500,14,0.002298725
200,5,500,15,0.003577301
200,5,500,16,0.003015397
200,5,500,17,0.002677036
200,5,500,18,0.003730406
200,5,500,19,0.002689107
200,5,500,20,0.00315092
200,5,500,21,0.003344911
200,5,500,22,0.003680209
200,5,500,23,0.004226838
200,5,500,24,0.00358975
200,5,500,25,0.003637468
200,10,1,1,0.057613191
200,10,1,2,0.068171784
200,10,1,3,0.06258173
200,10,1,4,0.053691656
200,10,1,5,0.069614877
200,10,1,6,0.059621383
200,10,1,7,0.0656901
200,10,1,8,0.055069181
200,10,1,9,0.070640992
200,10,1,10,0.068602677
200,10,1,11,0.067868737
200,10,1,12,0.061676498
200,10,1,13,0.071952653
200,10,1,14,0.044159284
200,10,1,15,0.076540775
200,10,1,16,0.048243187
200,10,1,17,0.05975254
200,10,1,18,0.062723074
200,10,1,19,0.073222299
200,10,1,20,0.053190547
200,10,1,21,0.054201065
200,10,1,22,0.05385277
200,10,1,23,0.055919917
200,10,1,24,0.053730542
200,10,1,25,0.069964753
200,10,5,1,0.055593086
200,10,5,2,0.058613014
200,10,5,3,0.056874634
200,10,5,4,0.052620212
200,10,5,5,0.048385026
200,10,5,6,0.053710844
200,10,5,7,0.06054175
200,10,5,8,0.049004672
200,10,5,9,0.051959386
200,10,5,10,0.051739737
200,10,5,11,0.035560234
200,10,5,12,0.053042605
200,10,5,13,0.052943762
200,10,5,14,0.050936547
200,10,5,15,0.054959667
200,10,5,16,0.040887014
200,10,5,17,0.058123353
200,10,5,18,0.055483842
200,10,5,19,0.039625919
200,10,5,20,0.053954442
200,10,5,21,0.045103783
200,10,5,22,0.045697854
200,10,5,23,0.05453133
200,10,5,24,0.043710468
200,10,5,25,0.053871424
200,10,30,1,0.044839989
200,10,30,2,0.037677162
200,10,30,3,0.037464472
200,10,30,4,0.04382865
200,10,30,5,0.045073422
200,10,30,6,0.036048397
200,10,30,7,0.0339241
200,10,30,8,0.041378462
200,10,30,9,0.042246345
200,10,30,10,0.048254687
200,10,30,11,0.029174527
200,10,30,12,0.042942426
200,10,30,13,0.049675975
200,10,30,14,0.045214192
200,10,30,15,0.042021862
200,10,30,16,0.050563763
200,10,30,17,0.042643192
200,10,30,18,0.046268155
200,10,30,19,0.05130722
200,10,30,20,0.044342078
200,10,30,21,0.040240459
200,10,30,22,0.039305482
200,10,30,23,0.040305046
200,10,30,24,0.048412617
200,10,30,25,0.040089572
200,10,100,1,0.04336279
200,10,100,2,0.03618374
200,10,100,3,0.043319749
200,10,100,4,0.034892196
200,10,100,5,0.044299936
200,10,100,6,0.035985039
200,10,100,7,0.032792139
200,10,100,8,0.041456088
200,10,100,9,0.036752171
200,10,100,10,0.03246556
200,10,100,11,0.024371967
200,10,100,12,0.043649526
200,10,100,13,0.041098129
200,10,100,14,0.036088454
200,10,100,15,0.036173274
200,10,100,16,0.040889053
200,10,100,17,0.036014008
200,10,100,18,0.043995938
200,10,100,19,0.042445051
200,10,100,20,0.032075776
200,10,100,21,0.034286839
200,10,100,22,0.039045372
200,10,100,23,0.037675029
200,10,100,24,0.040547071
200,10,100,25,0.037753746
200,10,500,1,0.034564687
200,10,500,2,0.038380722
200,10,500,3,0.035410753
200,10,500,4,0.035426834
200,10,500,5,0.028969291
200,10,500,6,0.037627487
200,10,500,7,0.033720452
200,10,500,8,0.034710204
200,10,500,9,0.028221496
200,10,500,10,0.03515293
200,10,500,11,0.032173689
200,10,500,12,0.032863843
200,10,500,13,0.029468972
200,10,500,14,0.031071634
200,10,500,15,0.031226906
200,10,500,16,0.040021495
200,10,500,17,0.025713461
200,10,500,18,0.035481164
200,10,500,19,0.030227792
200,10,500,20,0.031209022
200,10,500,21,0.029035879
200,10,500,22,0.028605737
200,10,500,23,0.027622169
200,10,500,24,0.030692759
200,10,500,25,0.02878772
200,20,1,1,0.232368396
200,20,1,2,0.213484311
200,20,1,3,0.226151072
200,20,1,4,0.235609726
200,20,1,5,0.226890367
200,20,1,6,0.207623487
200,20,1,7,0.208433793
200,20,1,8,0.207814905
200,20,1,9,0.218346812
200,20,1,10,0.207814482
200,20,1,11,0.238726185
200,20,1,12,0.239249654
200,20,1,13,0.224260294
200,20,1,14,0.23285973
200,20,1,15,0.233210727
200,20,1,16,0.241506011
200,20,1,17,0.227595044
200,20,1,18,0.220427931
200,20,1,19,0.304964556
200,20,1,20,0.281810297
200,20,1,21,0.210298577
200,20,1,22,0.240808986
200,20,1,23,0.301901733
200,20,1,24,0.215372853
200,20,1,25,0.258002309
200,20,5,1,0.16178276
200,20,5,2,0.182625401
200,20,5,3,0.175765038
200,20,5,4,0.206738895
200,20,5,5,0.200199237
200,20,5,6,0.180016961
200,20,5,7,0.201851092
200,20,5,8,0.205329838
200,20,5,9,0.18858383
200,20,5,10,0.208144927
200,20,5,11,0.221856739
200,20,5,12,0.229729957
200,20,5,13,0.186232842
200,20,5,14,0.190840071
200,20,5,15,0.20643947
200,20,5,16,0.187289139
200,20,5,17,0.194706348
200,20,5,18,0.210552239
200,20,5,19,0.211054063
200,20,5,20,0.207509504
200,20,5,21,0.222354102
200,20,5,22,0.195878037
200,20,5,23,0.213046378
200,20,5,24,0.17526157
200,20,5,25,0.198617778
200,20,30,1,0.179820774
200,20,30,2,0.194013689
200,20,30,3,0.187448401
200,20,30,4,0.18466696
200,20,30,5,0.189735177
200,20,30,6,0.180080301
200,20,30,7,0.184027237
200,20,30,8,0.152369703
200,20,30,9,0.159873532
200,20,30,10,0.176165559
200,20,30,11,0.197804802
200,20,30,12,0.195590672
200,20,30,13,0.196357647
200,20,30,14,0.194025097
200,20,30,15,0.183326402
200,20,30,16,0.207638847
200,20,30,17,0.188957056
200,20,30,18,0.1831619
200,20,30,19,0.153494794
200,20,30,20,0.177960491
200,20,30,21,0.195217881
200,20,30,22,0.172167383
200,20,30,23,0.197309014
200,20,30,24,0.190430586
200,20,30,25,0.188309018
200,20,100,1,0.172756556
200,20,100,2,0.138120516
200,20,100,3,0.143532446
200,20,100,4,0.17907565
200,20,100,5,0.159478654
200,20,100,6,0.147584171
200,20,100,7,0.175647406
200,20,100,8,0.153489494
200,20,100,9,0.186649398
200,20,100,10,0.1388437
200,20,100,11,0.170467868
200,20,100,12,0.17207484
200,20,100,13,0.153269734
200,20,100,14,0.180902928
200,20,100,15,0.179135168
200,20,100,16,0.18726689
200,20,100,17,0.175401896
200,20,100,18,0.178211198
200,20,100,19,0.175116678
200,20,100,20,0.168658653
200,20,100,21,0.154199543
200,20,100,22,0.187375057
200,20,100,23,0.182760404
200,20,100,24,0.155671614
200,20,100,25,0.151153059
200,20,500,1,0.158433543
200,20,500,2,0.151197762
200,20,500,3,0.153168539
200,20,500,4,0.161561364
200,20,500,5,0.165060095
200,20,500,6,0.169189916
200,20,500,7,0.160224556
200,20,500,8,0.159729297
200,20,500,9,0.151565164
200,20,500,10,0.158993937
200,20,500,11,0.172833919
200,20,500,12,0.127795402
200,20,500,13,0.156737458
200,20,500,14,0.142229839
200,20,500,15,0.152617621
200,20,500,16,0.152808557
200,20,500,17,0.154988207
200,20,500,18,0.155345041
200,20,500,19,0.161476501
200,20,500,20,0.154808977
200,20,500,21,0.140786438
200,20,500,22,0.146460854
200,20,500,23,0.157407359
200,20,500,24,0.147855609
200,20,500,25,0.155440494
200,30,1,1,0.584437638
200,30,1,2,0.45379699
200,30,1,3,0.451397804
200,30,1,4,0.521802896
200,30,1,5,0.419840175
200,30,1,6,0.504771066
200,30,1,7,0.528981102
200,30,1,8,0.392913434
200,30,1,9,0.446480048
200,30,1,10,0.780419351
200,30,1,11,0.41643645
200,30,1,12,0.484756728
200,30,1,13,0.485286679
200,30,1,14,0.453634122
200,30,1,15,0.402119711
200,30,1,16,0.501363614
200,30,1,17,0.671986644
200,30,1,18,0.464661776
200,30,1,19,0.465949122
200,30,1,20,0.479743205
200,30,1,21,0.561712474
200,30,1,22,0.459019937
200,30,1,23,0.43480807
200,30,1,24,0.529137521
200,30,1,25,0.732065562
200,30,5,1,0.451804876
200,30,5,2,0.4459482
200,30,5,3,0.414094288
200,30,5,4,0.445976376
200,30,5,5,0.414361273
200,30,5,6,0.398286094
200,30,5,7,0.445671595
200,30,5,8,0.445037403
200,30,5,9,0.393271051
200,30,5,10,0.372965939
200,30,5,11,0.412987067
200,30,5,12,0.402718982
200,30,5,13,0.426690094
200,30,5,14,0.378367724
200,30,5,15,0.417157916
200,30,5,16,0.421924299
200,30,5,17,0.37616369
200,30,5,18,0.38370073
200,30,5,19,0.419387682
200,30,5,20,0.439094595
200,30,5,21,0.466247144
200,30,5,22,0.397926644
200,30,5,23,0.45062615
200,30,5,24,0.426637064
200,30,5,25,0.446023408
200,30,30,1,0.381234409
200,30,30,2,0.354891826
200,30,30,3,0.398475627
200,30,30,4,0.347080197
200,30,30,5,0.39621808
200,30,30,6,0.369183295
200,30,30,7,0.396787564
200,30,30,8,0.38570058
200,30,30,9,0.380031691
200,30,30,10,0.394686768
200,30,30,11,0.353325411
200,30,30,12,0.343006439
200,30,30,13,0.397349929
200,30,30,14,0.365222652
200,30,30,15,0.403766256
200,30,30,16,0.402113074
200,30,30,17,0.406272685
200,30,30,18,0.404125424
200,30,30,19,0.399737433
200,30,30,20,0.363691556
200,30,30,21,0.391385461
200,30,30,22,0.393931459
200,30,30,23,0.38306017
200,30,30,24,0.406261596
200,30,30,25,0.363603372
200,30,100,1,0.370758533
200,30,100,2,0.35810518
200,30,100,3,0.356919771
200,30,100,4,0.379973599
200,30,100,5,0.339325598
200,30,100,6,0.333590567
200,30,100,7,0.346908404
200,30,100,8,0.358307335
200,30,100,9,0.350824333
200,30,100,10,0.385383929
200,30,100,11,0.335453809
200,30,100,12,0.401836943
200,30,100,13,0.338638446
200,30,100,14,0.350495577
200,30,100,15,0.357506748
200,30,100,16,0.35930205
200,30,100,17,0.342433693
200,30,100,18,0.380214864
200,30,100,19,0.372057562
200,30,100,20,0.39259057
200,30,100,21,0.365956323
200,30,100,22,0.336686082
200,30,100,23,0.393159007
200,30,100,24,0.362608615
200,30,100,25,0.383933167
200,30,500,1,0.335024213
200,30,500,2,0.355802865
200,30,500,3,0.355681805
200,30,500,4,0.347465545
200,30,500,5,0.362299074
200,30,500,6,0.379151906
200,30,500,7,0.333979821
200,30,500,8,0.352034241
200,30,500,9,0.348106479
200,30,500,10,0.327543575
200,30,500,11,0.358552808
200,30,500,12,0.363168914
200,30,500,13,0.33183968
200,30,500,14,0.339941981
200,30,500,15,0.34948931
200,30,500,16,0.331498349
200,30,500,17,0.309034784
200,30,500,18,0.355110181
200,30,500,19,0.365245312
200,30,500,20,0.324398269
200,30,500,21,0.346720609
200,30,500,22,0.349101149
200,30,500,23,0.349846384
200,30,500,24,0.316944631
200,30,500,25,0.352284819
200,100,1,1,3.789043893
200,100,1,2,3.965000404
200,100,1,3,3.652197249
200,100,1,4,4.127643167
200,100,1,5,4.308792433
200,100,1,6,4.27210544
200,100,1,7,3.955521487
200,100,1,8,3.754823306
200,100,1,9,4.570407326
200,100,1,10,4.372329279
200,100,1,11,3.652632875
200,100,1,12,3.651521129
200,100,1,13,4.424097925
200,100,1,14,4.058192874
200,100,1,15,3.532001198
200,100,1,16,4.221269478
200,100,1,17,3.745665252
200,100,1,18,3.738968097
200,100,1,19,3.47461138
200,100,1,20,3.530632786
200,100,1,21,3.803142786
200,100,1,22,4.127298531
200,100,1,23,4.271239275
200,100,1,24,4.244661265
200,100,1,25,3.683721575
200,100,5,1,3.664971107
200,100,5,2,3.400997554
200,100,5,3,3.506524298
200,100,5,4,3.581294407
200,100,5,5,3.289576453
200,100,5,6,3.652798308
200,100,5,7,3.204379909
200,100,5,8,3.287742102
200,100,5,9,3.380381922
200,100,5,10,3.527486447
200,100,5,11,3.431551728
200,100,5,12,3.324342089
200,100,5,13,3.170433073
200,100,5,14,3.206261054
200,100,5,15,3.621613204
200,100,5,16,3.446206101
200,100,5,17,3.351854538
200,100,5,18,3.383562877
200,100,5,19,3.509906603
200,100,5,20,3.340952974
200,100,5,21,3.410578819
200,100,5,22,3.346503257
200,100,5,23,3.306537796
200,100,5,24,3.178731979
200,100,5,25,3.29540382
200,100,30,1,3.232102803
200,100,30,2,2.889973183
200,100,30,3,3.470053352
200,100,30,4,3.216030197
200,100,30,5,3.245350487
200,100,30,6,3.112550292
200,100,30,7,3.099526075
200,100,30,8,3.053704638
200,100,30,9,3.129712792
200,100,30,10,3.219650493
200,100,30,11,3.194173387
200,100,30,12,3.408531866
200,100,30,13,3.325633914
200,100,30,14,3.083251503
200,100,30,15,3.241814048
200,100,30,16,3.265860717
200,100,30,17,3.019392976
200,100,30,18,3.18476447
200,100,30,19,3.242452436
200,100,30,20,3.02845143
200,100,30,21,3.246894941
200,100,30,22,3.233103373
200,100,30,23,3.4331845
200,100,30,24,3.147482243
200,100,30,25,2.989027722
200,100,100,1,3.115946322
200,100,100,2,2.792767265
200,100,100,3,3.15721892
200,100,100,4,3.141231451
200,100,100,5,3.023936715
200,100,100,6,3.183036311
200,100,100,7,2.969183521
200,100,100,8,3.032385669
200,100,100,9,2.999777123
200,100,100,10,2.951388863
200,100,100,11,3.051871166
200,100,100,12,3.138098504
200,100,100,13,3.238239794
200,100,100,14,3.053186414
200,100,100,15,3.125268993
200,100,100,16,3.055830515
200,100,100,17,2.945602645
200,100,100,18,3.082778194
200,100,100,19,2.897716061
